cveId,priority
CVE-2021-22768,HIGH
CVE-2021-22779,HIGH
CVE-2021-22876,LOW
CVE-2021-22893,HIGH
CVE-2021-22898,LOW
CVE-2021-22923,LOW
CVE-2021-22930,HIGH
CVE-2021-22946,LOW
CVE-2021-22947,LOW
CVE-2021-22986,HIGH
CVE-2021-22991,HIGH
CVE-2021-23240,LOW
CVE-2021-23840,LOW
CVE-2021-23841,LOW
CVE-2021-25281,HIGH
CVE-2021-25642,MEDIUM
CVE-2021-25663,HIGH
CVE-2021-25664,HIGH
CVE-2021-26084,HIGH
CVE-2021-26312,LOW
CVE-2021-26339,LOW
CVE-2021-26341,LOW
CVE-2021-26347,LOW
CVE-2021-26349,LOW
CVE-2021-26373,LOW
CVE-2021-26375,LOW
CVE-2021-26388,LOW
CVE-2021-26855,CRITICAL
CVE-2021-27065,MEDIUM
CVE-2021-27218,LOW
CVE-2021-27219,LOW
CVE-2021-27561,HIGH
CVE-2021-27645,LOW
CVE-2021-27886,HIGH
CVE-2021-27918,LOW
CVE-2021-28151,HIGH
CVE-2021-28153,LOW
CVE-2021-28169,LOW
CVE-2021-28481,HIGH
CVE-2021-28831,LOW
CVE-2021-28861,LOW
CVE-2021-28957,LOW
CVE-2021-29203,HIGH
CVE-2021-29241,HIGH
CVE-2021-29425,LOW
CVE-2021-29509,LOW
CVE-2021-30128,HIGH
CVE-2021-30139,LOW
CVE-2021-30468,LOW
CVE-2021-30498,MEDIUM
CVE-2021-30499,MEDIUM
CVE-2021-30560,MEDIUM
CVE-2021-30860,HIGH
CVE-2021-3129,MEDIUM
CVE-2021-31314,HIGH
CVE-2021-31525,LOW
CVE-2021-31805,MEDIUM
CVE-2021-32172,MEDIUM
CVE-2021-32840,HIGH
CVE-2021-32980,HIGH
CVE-2021-33036,MEDIUM
CVE-2021-33123,MEDIUM
CVE-2021-33124,MEDIUM
CVE-2021-33194,LOW
CVE-2021-33195,MEDIUM
CVE-2021-33196,LOW
CVE-2021-33197,LOW
CVE-2021-3326,LOW
CVE-2021-33357,MEDIUM
CVE-2021-33430,LOW
CVE-2021-33485,HIGH
CVE-2021-33543,HIGH
CVE-2021-33560,LOW
CVE-2021-33564,MEDIUM
CVE-2021-33574,MEDIUM
CVE-2021-33621,MEDIUM
CVE-2021-33655,MEDIUM
CVE-2021-33656,MEDIUM
CVE-2021-33912,HIGH
CVE-2021-33913,HIGH
CVE-2021-34434,LOW
CVE-2021-34473,HIGH
CVE-2021-3449,LOW
CVE-2021-3450,LOW
CVE-2021-34566,HIGH
CVE-2021-34567,HIGH
CVE-2021-34568,HIGH
CVE-2021-34569,HIGH
CVE-2021-34727,HIGH
CVE-2021-34746,HIGH
CVE-2021-34770,HIGH
CVE-2021-35042,HIGH
CVE-2021-3530,LOW
CVE-2021-35498,HIGH
CVE-2021-3577,MEDIUM
CVE-2021-3584,MEDIUM
CVE-2021-35937,LOW
CVE-2021-35938,LOW
CVE-2021-35939,LOW
CVE-2021-35942,LOW
CVE-2021-36159,MEDIUM
CVE-2021-3634,LOW
CVE-2021-36356,HIGH
CVE-2021-36373,LOW
CVE-2021-36374,LOW
CVE-2021-3638,LOW
CVE-2021-36380,HIGH
CVE-2021-3670,LOW
CVE-2021-36764,HIGH
CVE-2021-3695,LOW
CVE-2021-3696,LOW
CVE-2021-3697,LOW
CVE-2021-3711,MEDIUM
CVE-2021-3712,MEDIUM
CVE-2021-37137,LOW
CVE-2021-37205,HIGH
CVE-2021-37404,MEDIUM
CVE-2021-3750,LOW
CVE-2021-37533,LOW
CVE-2021-3759,LOW
CVE-2021-37600,LOW
CVE-2021-3778,LOW
CVE-2021-3796,LOW
CVE-2021-38115,LOW
CVE-2021-38243,HIGH
CVE-2021-3826,LOW
CVE-2021-3827,LOW
CVE-2021-38297,MEDIUM
CVE-2021-38504,HIGH
CVE-2021-38575,MEDIUM
CVE-2021-38593,LOW
CVE-2021-38604,LOW
CVE-2021-3872,LOW
CVE-2021-3875,LOW
CVE-2021-3903,LOW
CVE-2021-3923,LOW
CVE-2021-3927,LOW
CVE-2021-39275,MEDIUM
CVE-2021-3928,LOW
CVE-2021-39623,HIGH
CVE-2021-3968,LOW
CVE-2021-3973,LOW
CVE-2021-3974,LOW
CVE-2021-3984,LOW
CVE-2021-3998,LOW
CVE-2021-3999,MEDIUM
CVE-2021-40113,HIGH
CVE-2021-40119,HIGH
CVE-2021-4019,LOW
CVE-2021-40365,HIGH
CVE-2021-4037,LOW
CVE-2021-40379,LOW
CVE-2021-40528,LOW
CVE-2021-40539,HIGH
CVE-2021-4069,LOW
CVE-2021-40690,LOW
CVE-2021-40719,HIGH
CVE-2021-40812,LOW
CVE-2021-40870,HIGH
CVE-2021-41039,LOW
CVE-2021-4104,MEDIUM
CVE-2021-41043,LOW
CVE-2021-41136,LOW
CVE-2021-4136,LOW
CVE-2021-41411,MEDIUM
CVE-2021-41496,LOW
CVE-2021-4157,LOW
CVE-2021-4166,LOW
CVE-2021-41771,LOW
CVE-2021-41773,HIGH
CVE-2021-41817,LOW
CVE-2021-4192,LOW
CVE-2021-4193,LOW
CVE-2021-42013,HIGH
CVE-2021-42020,HIGH
CVE-2021-4203,LOW
CVE-2021-42373,LOW
CVE-2021-42374,LOW
CVE-2021-42375,LOW
CVE-2021-42376,MEDIUM
CVE-2021-42377,MEDIUM
CVE-2021-42378,MEDIUM
CVE-2021-42379,MEDIUM
CVE-2021-42380,MEDIUM
CVE-2021-42381,MEDIUM
CVE-2021-42382,MEDIUM
CVE-2021-42383,MEDIUM
CVE-2021-42384,MEDIUM
CVE-2021-42385,MEDIUM
CVE-2021-42386,MEDIUM
CVE-2021-42574,MEDIUM
CVE-2021-42756,HIGH
CVE-2021-43113,MEDIUM
CVE-2021-43267,HIGH
CVE-2021-43527,HIGH
CVE-2021-43565,LOW
CVE-2021-43618,LOW
CVE-2021-44228,CRITICAL
CVE-2021-4436,HIGH
CVE-2021-44529,HIGH
CVE-2021-44531,MEDIUM
CVE-2021-44532,LOW
CVE-2021-44533,LOW
CVE-2021-44716,LOW
CVE-2021-44832,LOW
CVE-2021-44878,LOW
CVE-2021-44879,LOW
CVE-2021-44906,MEDIUM
CVE-2021-45046,MEDIUM
CVE-2021-45078,LOW
CVE-2021-45105,LOW
CVE-2021-45382,HIGH
CVE-2021-45420,HIGH
CVE-2021-45930,LOW
CVE-2021-46195,LOW
CVE-2021-46744,LOW
CVE-2021-46828,LOW
CVE-2021-46848,MEDIUM
CVE-2021-46877,LOW
CVE-2022-0001,MEDIUM
CVE-2022-0002,MEDIUM
CVE-2022-0004,LOW
CVE-2022-0028,LOW
CVE-2022-0128,LOW
CVE-2022-0171,LOW
CVE-2022-0194,HIGH
CVE-2022-0213,LOW
CVE-2022-0225,LOW
CVE-2022-0261,LOW
CVE-2022-0318,MEDIUM
CVE-2022-0319,LOW
CVE-2022-0351,LOW
CVE-2022-0359,LOW
CVE-2022-0361,LOW
CVE-2022-0392,LOW
CVE-2022-0407,LOW
CVE-2022-0413,LOW
CVE-2022-0529,LOW
CVE-2022-0530,LOW
CVE-2022-0543,HIGH
CVE-2022-0561,LOW
CVE-2022-0696,LOW
CVE-2022-0778,LOW
CVE-2022-0865,LOW
CVE-2022-0891,LOW
CVE-2022-0908,LOW
CVE-2022-0924,LOW
CVE-2022-1012,MEDIUM
CVE-2022-1015,LOW
CVE-2022-1016,LOW
CVE-2022-1040,HIGH
CVE-2022-1070,HIGH
